City,Continent,Class,Skewness,Dip_Statistic,Mean_Height
Apatzingan,NORTH AMERICA,Hourglass,-0.255722639,0,2.382000384
Apia,ANTARCTICA,Pyramid,2.03046271,1,0.509365083
Apodi,SOUTH AMERICA,Inverse Pyramid,-0.599765333,0.722346912,3.851058583
Apolo,SOUTH AMERICA,Pyramid,2.681198892,0.995150466,0.410659607
Appleton,NORTH AMERICA,Hourglass,1.823101728,4.62E-05,1.588201016
Apsheronsk,EUROPE,Hourglass,0.649054938,0,1.295584191
Apucarana,SOUTH AMERICA,Hourglass,0.619637601,0,1.644609855
Aqadyr,ASIA,Pyramid,1.721592759,0.866924564,0.805533939
Aqsay,ASIA,Hourglass,0.313038447,1.52E-06,1.771313828
Aqtau,ASIA,Hourglass,0.900051899,3.55E-05,1.957021237
Aqtobe,ASIA,Hourglass,1.342812595,0,2.70560677
Aquidauana,SOUTH AMERICA,Pyramid,0.894049423,0.314085797,0.923013508
Ar Ramadi,ASIA,Pyramid,0.84057548,0.533042195,1.54765628
Ar Raqqah,ASIA,Hourglass,0.512078921,0,2.23324256
Ar Rutbah,ASIA,Pyramid,0.745065378,0.990093493,1.362668702
Aracaju,SOUTH AMERICA,Hourglass,1.382574669,0,1.062192965
Aracati,SOUTH AMERICA,Hourglass,0.053125107,0,1.591175471
Aracatuba,SOUTH AMERICA,Hourglass,0.581832321,0,1.741819588
Aracuai,SOUTH AMERICA,Pyramid,0.970692854,0.185790798,1.31271177
Arad,EUROPE,Pyramid,1.529500495,0.206585737,1.713876732
Araguaina,SOUTH AMERICA,Hourglass,-0.749630257,3.01E-05,2.657669391
Araguari,SOUTH AMERICA,Hourglass,0.328376922,0,1.568957358
Arak,ASIA,Hourglass,1.073831294,0,2.042366028
Aral,ASIA,Hourglass,0.237070737,0,1.295084143
Aranyaprathet,ASIA,Pyramid,1.23242369,0.992326247,0.973359171
Arapiraca,SOUTH AMERICA,Hourglass,-0.189758844,0,1.864546951
Arapongas,SOUTH AMERICA,Hourglass,0.490134111,0,1.52009278
Arar,ASIA,Hourglass,0.004282156,0,2.588295902
Ararangua,SOUTH AMERICA,Hourglass,1.00361593,0,0.948306956
Ararat,AUSTRALIA,Pyramid,1.16465698,0.649058016,1.123293651
Arauca,SOUTH AMERICA,Hourglass,0.79277028,0.00053088,1.280919927
Araxa,SOUTH AMERICA,Hourglass,0.177401893,0,1.973280073
Arba Minch,AFRICA,Pyramid,3.043566328,0.998390936,0.338647358
Arcata,NORTH AMERICA,Pyramid,2.206755572,1,0.706295335
Archangel,EUROPE,Pyramid,1.997751025,0.074902171,0.779819528
Arcoverde,SOUTH AMERICA,Hourglass,0.850940063,9.29E-06,1.368213435
Arctic Bay,NORTH AMERICA,Pyramid,4.300613072,1,0.008394584
Ardabil,ASIA,Hourglass,0.085391471,0,2.16545442
Ardmore,NORTH AMERICA,Pyramid,2.00099851,0.01541928,1.207094988
Arecibo,SOUTH AMERICA,Pyramid,1.756713917,0.788096541,0.825838653
Arequipa,SOUTH AMERICA,Hourglass,0.592309856,0,1.905675688
Arezzo,EUROPE,Pyramid,1.817333829,0.916524943,0.641024855
Argentia,NORTH AMERICA,Pyramid,8.47413989,0.990329157,0.010205299
Arica,SOUTH AMERICA,Hourglass,0.648878543,0,1.713032112
Arjona,SOUTH AMERICA,Pyramid,1.304190432,0.09888954,0.669371029
Armavir,EUROPE,Hourglass,0.445681167,0,1.59025645
Armenia,SOUTH AMERICA,Pyramid,0.941576554,0.048873238,1.827594176
Armidale,AUSTRALIA,Pyramid,1.436979525,0.991979285,1.149202411
Arqalyq,ASIA,Pyramid,2.709913607,1,0.761998229
Arras,EUROPE,Pyramid,1.960184124,0.993785328,1.19016272
Arrecife,AFRICA,Pyramid,1.645830592,0.993272971,1.131705599
Arroyos y Esteros,SOUTH AMERICA,Pyramid,1.263746711,0.994351414,0.648690811
Arsenyev,ASIA,Pyramid,0.788850568,0.318419075,1.988793348
Artemisa,NORTH AMERICA,Pyramid,1.759410763,0.068841507,0.526595596
Artemovsk,ASIA,Pyramid,5.277044412,0.818740717,0.013787583
Artemovskiy,ASIA,Pyramid,1.45034613,0.999637,1.161634267
Artigas,SOUTH AMERICA,Pyramid,0.657717048,0.006580875,1.318944814
Arua,AFRICA,Hourglass,5.283417049,8.34E-06,0.190191712
Arusha,AFRICA,Hourglass,0.742287665,0,2.487717841
Arvayheer,ASIA,Pyramid,1.632978058,0.998029689,0.690346912
Arviat,NORTH AMERICA,Pyramid,0.851996149,0.49806873,0.098330088
Arxan,ASIA,Pyramid,1.87799106,1,0.895286665
Arys,ASIA,Hourglass,-0.03301008,0,1.685420852
Arzamas,EUROPE,Pyramid,1.658361279,0.991453575,0.869904998
As Salt,ASIA,Pyramid,1.270098114,1,1.306420067
As Samawah,ASIA,Hourglass,1.052388702,0,1.102600025
As Sulaymaniyah,ASIA,Hourglass,0.029818046,0,3.336184723
As Sulayyil,ASIA,Pyramid,1.224596857,0.99379833,0.924737717
As Suwayda,ASIA,Hourglass,0.630542621,0,2.126973559
Asahikawa,ASIA,Hourglass,1.099498778,0,2.633689545
Asbest,ASIA,Pyramid,1.411708993,0.462672021,1.241931334
Ascension,NORTH AMERICA,Diamond,0.464237981,0.011118304,1.067203938
Asela,AFRICA,Pyramid,0.774178739,0.002873233,1.559341789
Ash Shatrah,ASIA,Pyramid,1.202140129,0.006370931,0.877225225
Ash Shihr,ASIA,Pyramid,0.630089924,0.393149127,1.405437238
Asha,EUROPE,Pyramid,4.281817055,1,0.718175963
Ashburton1,AUSTRALIA,Hourglass,0.186292547,0,1.103238498
Ashburton2,AUSTRALIA,Pyramid,0.725587947,0.187836172,0.642366278
